sample_number,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,source_file,,,13C (at-%),15N (at-%)
6207,-32.34,1821.35,,157.09,75.26,,BBWM HERB2,A6,herbaceous plant,"13C, 15N",yes,,4.05,654781,107752,,,Spencer BBWM-Herb2 0114,,,,
6208,-32.72,1900.64,,175.44,83.93,,BBWM HERB2,A7,herbaceous plant,"13C, 15N",yes,,4.04,654782,107753,,,Spencer BBWM-Herb2 0114,,,,
6210,-32.68,2059.12,,468.66,45.69,,BBWM HERB2,A8,herbaceous plant,"13C, 15N",yes,,4.23,654783,107754,,,Spencer BBWM-Herb2 0114,,,,
6212,-32.03,1916.49,,318.49,42.73,,BBWM HERB2,A9,herbaceous plant,"13C, 15N",yes,,4.22,654784,107755,,,Spencer BBWM-Herb2 0114,,,,
6213,-32.88,1694.42,,255.07,98.89,,BBWM HERB2,A10,herbaceous plant,"13C, 15N",yes,,3.93,654785,107756,,,Spencer BBWM-Herb2 0114,,,,
6214,-32.77,1932.35,,47.89,100.61,,BBWM HERB2,A11,herbaceous plant,"13C, 15N",yes,,4.23,654786,107757,,,Spencer BBWM-Herb2 0114,,,,
6215,-31.21,1773.76,,209.96,95.42,,BBWM HERB2,A12,herbaceous plant,"13C, 15N",yes,,4.25,654787,107758,,,Spencer BBWM-Herb2 0114,,,,
6216,-32.67,1789.62,,395.5,39.04,,BBWM HERB2,B1,herbaceous plant,"13C, 15N",yes,,4.15,654788,107762,,,Spencer BBWM-Herb2 0114,,,,
6217,-33.29,1710.29,,264.69,40.93,,BBWM HERB2,B2,herbaceous plant,"13C, 15N",yes,,4.09,654789,107763,,,Spencer BBWM-Herb2 0114,,,,
6218,-31.93,1900.64,,244.3,57.48,,BBWM HERB2,B3,herbaceous plant,"13C, 15N",yes,,4.03,654790,107764,,,Spencer BBWM-Herb2 0114,,,,
6219,-32.89,1932.35,,420.75,44.43,,BBWM HERB2,B4,herbaceous plant,"13C, 15N",yes,,3.93,654791,107765,,,Spencer BBWM-Herb2 0114,,,,
6220,-31.81,1884.78,,302.21,38.5,,BBWM HERB2,B5,herbaceous plant,"13C, 15N",yes,,4.1,654792,107766,,,Spencer BBWM-Herb2 0114,,,,
6224,-31.93,1837.21,,383.41,36.88,,BBWM HERB2,B6,herbaceous plant,"13C, 15N",yes,,4.14,654793,107767,,,Spencer BBWM-Herb2 0114,,,,
6225,-31.65,1995.75,,452.64,38.86,,BBWM HERB2,B7,herbaceous plant,"13C, 15N",yes,,4.11,654794,107768,,,Spencer BBWM-Herb2 0114,,,,
6226,-32.66,1853.07,,572.97,35.88,,BBWM HERB2,B8,herbaceous plant,"13C, 15N",yes,,3.97,654795,107769,,,Spencer BBWM-Herb2 0114,,,,
6227,-33.63,1630.92,,344.36,39.13,,BBWM HERB2,B9,herbaceous plant,"13C, 15N",yes,,4.23,654796,107770,,,Spencer BBWM-Herb2 0114,,,,
6228,-33.54,1565.82,,208.78,70.06,,BBWM HERB2,B10,herbaceous plant,"13C, 15N",yes,,4.02,654797,107771,,,Spencer BBWM-Herb2 0114,,,,
6230,-32.67,1773.76,,371.79,46.23,,BBWM HERB2,B11,herbaceous plant,"13C, 15N",yes,,4.17,654798,107772,,,Spencer BBWM-Herb2 0114,,,,
6231,-30.79,2233.31,,117.79,40.57,,BBWM HERB2,B12,herbaceous plant,"13C, 15N",yes,,4.23,654799,107773,,,Spencer BBWM-Herb2 0114,,,,
6232,-31.92,1884.78,,86.66,39.76,,BBWM HERB2,C1,herbaceous plant,"13C, 15N",yes,,3.96,654800,107776,,,Spencer BBWM-Herb2 0114,,,,
6237,-32.53,1964.05,,110.82,43.54,,BBWM HERB2,C2,herbaceous plant,"13C, 15N",yes,,4.03,654801,107777,,,Spencer BBWM-Herb2 0114,,,,
6248,-32.23,1948.2,,122.54,45.06,,BBWM HERB2,C3,herbaceous plant,"13C, 15N",yes,,4.27,654802,107778,,,Spencer BBWM-Herb2 0114,,,,
6254,-32.19,2106.64,,168.27,41.65,,BBWM HERB2,C4,herbaceous plant,"13C, 15N",yes,,4.22,654803,107779,,,Spencer BBWM-Herb2 0114,,,,
6254,-32.46,1805.49,,69.59,42.19,,BBWM HERB2,C5,herbaceous plant,"13C, 15N",yes,,3.98,654804,107780,,,Spencer BBWM-Herb2 0114,,,,
6255,-32.23,2106.64,,103.87,47.75,,BBWM HERB2,C6,herbaceous plant,"13C, 15N",yes,,4.14,654805,107781,,,Spencer BBWM-Herb2 0114,,,,
6260,-30.92,1757.89,,130.87,46.05,,BBWM HERB2,C7,herbaceous plant,"13C, 15N",yes,,4.08,654806,107782,,,Spencer BBWM-Herb2 0114,,,,
6261,-31.7,1789.62,,238.53,40.12,,BBWM HERB2,C8,herbaceous plant,"13C, 15N",yes,,4.11,654807,107783,,,Spencer BBWM-Herb2 0114,,,,
6262,-27.26,1757.89,,74.36,55.17,,BBWM HERB2,C9,herbaceous plant,"13C, 15N",yes,,3.96,654808,107784,,,Spencer BBWM-Herb2 0114,,,,
6263,-32.5,2043.28,,204.42,58.19,,BBWM HERB2,C10,herbaceous plant,"13C, 15N",yes,,4.14,654809,107785,,,Spencer BBWM-Herb2 0114,,,,
6264,-29.94,1916.49,,72.54,99.75,,BBWM HERB2,C11,herbaceous plant,"13C, 15N",yes,,4.22,654810,107786,,,Spencer BBWM-Herb2 0114,,,,
6265,-30.61,1900.64,,114.99,44.34,,BBWM HERB2,C12,herbaceous plant,"13C, 15N",yes,,4.08,654811,107787,,,Spencer BBWM-Herb2 0114,,,,
6266,-33.22,1853.07,,250.46,54.45,,BBWM HERB2,D1,herbaceous plant,"13C, 15N",yes,,4.24,654812,107791,,,Spencer BBWM-Herb2 0114,,,,
6267,-30.61,1773.76,,89.6,106.65,,BBWM HERB2,D2,herbaceous plant,"13C, 15N",yes,,4.15,654813,107792,,,Spencer BBWM-Herb2 0114,,,,
6272,-31.55,1916.49,,112.52,106.65,,BBWM HERB2,D3,herbaceous plant,"13C, 15N",yes,,4.13,654814,107793,,,Spencer BBWM-Herb2 0114,,,,
6274,-30.85,2043.28,,51.62,43.81,,BBWM HERB2,D4,herbaceous plant,"13C, 15N",yes,,3.92,654815,107794,,,Spencer BBWM-Herb2 0114,,,,
6278,-30.07,1789.62,,89.98,98.89,,BBWM HERB2,D5,herbaceous plant,"13C, 15N",yes,,3.96,654816,107795,,,Spencer BBWM-Herb2 0114,,,,
6279,-29.75,2027.44,,60.12,63.34,,BBWM HERB2,D6,herbaceous plant,"13C, 15N",yes,,4.17,654817,107796,,,Spencer BBWM-Herb2 0114,,,,
6281,-31.09,1742.03,,143.64,69.62,,BBWM HERB2,D7,herbaceous plant,"13C, 15N",yes,,3.95,654818,107797,,,Spencer BBWM-Herb2 0114,,,,
6284,-30.3,1868.93,,117.51,96.29,,BBWM HERB2,D8,herbaceous plant,"13C, 15N",yes,,4.23,654819,107798,,,Spencer BBWM-Herb2 0114,,,,
6285,-32.05,1853.07,,33.32,97.15,,BBWM HERB2,D9,herbaceous plant,"13C, 15N",yes,,4.06,654820,107799,,,Spencer BBWM-Herb2 0114,,,,
6286,-30.31,1884.78,,173.62,51.24,,BBWM HERB2,D10,herbaceous plant,"13C, 15N",yes,,4.29,654821,107800,,,Spencer BBWM-Herb2 0114,,,,
6287,-30.78,2027.44,,251.51,69.88,,BBWM HERB2,D11,herbaceous plant,"13C, 15N",yes,,4.13,654822,107801,,,Spencer BBWM-Herb2 0114,,,,
6288,-31.96,1900.64,,209.25,57.3,,BBWM HERB2,D12,herbaceous plant,"13C, 15N",yes,,4.01,654823,107802,,,Spencer BBWM-Herb2 0114,,,,
