sample_ID,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,,source_file,,,
LL1214,-26.37,2340.87,,193.81,45.12,,BBWM LL TRAY 2,C7,Loose Litter,"13C, 15N",Yes,,4.59,488635,49738,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1215,-25.92,2067.38,,127.69,45.3,,BBWM LL TRAY 2,C8,Loose Litter,"13C, 15N",Yes,,4.26,488636,49739,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1222,-27.65,2565.67,,57.89,92.59,,BBWM LL TRAY 2,C9,Loose Litter,"13C, 15N",Yes,,4.94,488637,49740,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1224,-28.41,2236.67,,24.46,93.49,,BBWM LL TRAY 2,C10,Loose Litter,"13C, 15N",Yes,,4.99,488638,49741,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1225,-27.29,2630.18,,85.01,74.34,,BBWM LL TRAY 2,C11,Loose Litter,"13C, 15N",Yes,,4.88,488639,49742,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1233,-27.63,2202.84,,71.06,62.02,,BBWM LL TRAY 2,C12,Loose Litter,"13C, 15N",Yes,,4.42,488640,49743,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1234,-27.22,2447.74,,78.84,64.2,,BBWM LL TRAY 2,D1,Loose Litter,"13C, 15N",Yes,,4.69,488641,49746,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1235,-26.58,2323.98,,154.97,41.07,,BBWM LL TRAY 2,D2,Loose Litter,"13C, 15N",Yes,,4.36,488642,49747,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1302,-28.76,2425.25,,159.11,70.46,,BBWM LL TRAY 2,D3,Loose Litter,"13C, 15N",Yes,,5.17,488643,49748,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1304,-28.93,2571.28,,363.93,57.92,,BBWM LL TRAY 2,D4,Loose Litter,"13C, 15N",Yes,,5.21,488644,49749,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1305,-29.62,2357.75,,108.86,78.77,,BBWM LL TRAY 2,D5,Loose Litter,"13C, 15N",Yes,,4.75,488645,49750,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1312,-27.17,2394.32,,9.95,76.78,,BBWM LL TRAY 2,D6,Loose Litter,"13C, 15N",Yes,,4.37,488646,49751,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1314,-26.05,2495.5,,51.34,67.65,,BBWM LL TRAY 2,D7,Loose Litter,"13C, 15N",Yes,,4.7,488647,49752,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1315,-26.36,2360.57,,12.29,79.76,,BBWM LL TRAY 2,D8,Loose Litter,"13C, 15N",Yes,,4.45,488648,49753,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1322,-28.18,2262.03,,198.66,76.06,,BBWM LL TRAY 2,D9,Loose Litter,"13C, 15N",Yes,,4.99,488649,49754,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1324,-28.52,2315.54,,168.06,94.38,,BBWM LL TRAY 2,D10,Loose Litter,"13C, 15N",Yes,,4.75,488650,49755,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1325,-28.6,2588.12,,202.93,106.85,,BBWM LL TRAY 2,D11,Loose Litter,"13C, 15N",Yes,,5.2,488651,49756,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1333,-26.58,2149.25,,64.83,48.78,,BBWM LL TRAY 2,D12,Loose Litter,"13C, 15N",Yes,,4.27,488652,49757,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1334,-26.98,2204.01,,46.63,66.62,,BBWM LL TRAY 2,E1,Loose Litter,"13C, 15N",Yes,,4.45,488653,50811,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1335,-26.73,2244.9,,160.54,53.19,,BBWM LL TRAY 2,E2,Loose Litter,"13C, 15N",Yes,,4.3,488654,50812,,,,Copy of Spencer BBWMLLTray2 1112,,,
RLL1335,-26.68,2512.54,,158.86,60.22,,BBWM LL TRAY 2,E3,Loose Litter,"13C, 15N",Yes,,4.35,488655,50813,,,,Copy of Spencer BBWMLLTray2 1112,,,
BLANK,-33.24,2.28,Too small,,,Below detection,BBWM LL TRAY 2,E4,Loose Litter,"13C, 15N",,,0,488656,50814,,,,Copy of Spencer BBWMLLTray2 1112,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LL 2202,-29.26,2185.82,,126.13,68.3,,BBWMLL6,A1,Forest Floor Litter,"13C,15N",YES,,4.86,621950,107824,,,,Spencer BBWM-LL6 1113,,,
LL 2204,-29.08,2312.43,,65.07,78.07,,BBWMLL6,A2,Forest Floor Litter,"13C,15N",YES,,4.78,621951,107825,,,,Spencer BBWM-LL6 1113,,,
LL 2205,-29.3,2169.99,,75.07,75.17,,BBWMLL6,A3,Forest Floor Litter,"13C,15N",YES,,4.78,621952,107826,,,,Spencer BBWM-LL6 1113,,,
LL 2212,-26.09,2154.15,,28.44,43,,BBWMLL6,A4,Forest Floor Litter,"13C,15N",YES,,4.39,621953,107827,,,,Spencer BBWM-LL6 1113,,,
LL 2214,-26.95,2154.15,,76.73,49.45,,BBWMLL6,A5,Forest Floor Litter,"13C,15N",YES,,4.31,621954,107828,,,,Spencer BBWM-LL6 1113,,,
LL 2215,-26.15,2233.31,,29.53,41.11,,BBWMLL6,A6,Forest Floor Litter,"13C,15N",YES,,4.48,621955,107829,,,,Spencer BBWM-LL6 1113,,,
LL 2222,-29.43,2312.43,,27.4,91.95,,BBWMLL6,A7,Forest Floor Litter,"13C,15N",YES,,4.87,621956,107830,,,,Spencer BBWM-LL6 1113,,,
LL 2224,-29.61,2280.79,,54.11,80,,BBWMLL6,A8,Forest Floor Litter,"13C,15N",YES,,4.78,621957,107831,,,,Spencer BBWM-LL6 1113,,,
LL 2225,-29.07,2328.25,,79.31,88.82,,BBWMLL6,A9,Forest Floor Litter,"13C,15N",YES,,4.74,621958,107832,,,,Spencer BBWM-LL6 1113,,,
LL 2233,-27.13,1995.75,,99.42,51.95,,BBWMLL6,A10,Forest Floor Litter,"13C,15N",YES,,4.41,621959,107833,,,,Spencer BBWM-LL6 1113,,,
LL 2234,-26.71,2074.97,,43.24,51.69,,BBWMLL6,A11,Forest Floor Litter,"13C,15N",YES,,4.28,621960,107834,,,,Spencer BBWM-LL6 1113,,,
LL 2235,-26.88,1853.07,,20.18,55.79,,BBWMLL6,A12,Forest Floor Litter,"13C,15N",YES,,4.35,621961,107835,,,,Spencer BBWM-LL6 1113,,,
LL 2302,-28.61,2043.28,,129.71,62.9,,BBWMLL6,B1,Forest Floor Litter,"13C,15N",YES,,4.67,621962,107839,,,,Spencer BBWM-LL6 1113,,,
LL 2304,-29.47,2185.82,,42.62,59.97,,BBWMLL6,B2,Forest Floor Litter,"13C,15N",YES,,4.79,621963,107840,,,,Spencer BBWM-LL6 1113,,,
LL 2305,-29.66,2264.96,,72.3,74.03,,BBWMLL6,B3,Forest Floor Litter,"13C,15N",YES,,4.89,621964,107841,,,,Spencer BBWM-LL6 1113,,,
LL 2312,-26.77,1837.21,,41.26,41.38,,BBWMLL6,B4,Forest Floor Litter,"13C,15N",YES,,4.41,621965,107842,,,,Spencer BBWM-LL6 1113,,,
LL 2314,-26.95,2059.12,,49.64,48.2,,BBWMLL6,B5,Forest Floor Litter,"13C,15N",YES,,4.46,621966,107843,,,,Spencer BBWM-LL6 1113,,,
LL 2315,-27.26,2217.48,,49.33,41.38,,BBWMLL6,B6,Forest Floor Litter,"13C,15N",YES,,4.45,621967,107844,,,,Spencer BBWM-LL6 1113,,,
LL 2322,-29.12,1964.05,,20.2,67.94,,BBWMLL6,B7,Forest Floor Litter,"13C,15N",YES,,4.92,621968,107845,,,,Spencer BBWM-LL6 1113,,,
LL 2324,-29.38,2328.25,,32.87,83.76,,BBWMLL6,B8,Forest Floor Litter,"13C,15N",YES,,4.72,621969,107846,,,,Spencer BBWM-LL6 1113,,,
LL 2325,-29.09,2233.31,,131.79,82.01,,BBWMLL6,B9,Forest Floor Litter,"13C,15N",YES,,4.79,621970,107847,,,,Spencer BBWM-LL6 1113,,,
LL 2333,-26.66,2011.59,,41.72,47.75,,BBWMLL6,B10,Forest Floor Litter,"13C,15N",YES,,4.35,621971,107848,,,,Spencer BBWM-LL6 1113,,,
LL 2334,-27.21,2059.12,,29.79,61.12,,BBWMLL6,B11,Forest Floor Litter,"13C,15N",YES,,4.43,621972,107849,,,,Spencer BBWM-LL6 1113,,,
LL 2335,-26.64,2011.59,,38.59,45.24,,BBWMLL6,B12,Forest Floor Litter,"13C,15N",YES,,4.25,621973,107850,,,,Spencer BBWM-LL6 1113,,,
RLL 2335,-26.77,2106.64,,38.27,47.57,,BBWMLL6,C1,Forest Floor Litter,"13C,15N",YES,,4.24,621974,107853,,,,Spencer BBWM-LL6 1113,,,
Blank,-26.88,7.2,Too small,-4.86,1.92,Too small,BBWMLL6,C2,BlankPellet,"13C,15N",N/A,,0,621975,107854,,,,Spencer BBWM-LL6 1113,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LL1001,-26.97,2292.34,,118.29,64.85,,BBWMLLTray3,A1,Forest Floor litter,"13C, 15N",Yes,,4.73,604062,88073,,,,Spencer BBWM-LLTray3 0613,,,
LL1003,-29.01,2214.28,,160,70.87,,BBWMLLTray3,A2,Forest Floor litter,"13C, 15N",Yes,,4.67,604063,88074,,,,Spencer BBWM-LLTray3 0613,,,
LL1011,-26.53,2177.76,,87.51,59.42,,BBWMLLTray3,A3,Forest Floor litter,"13C, 15N",Yes,,4.27,604064,88075,,,,Spencer BBWM-LLTray3 0613,,,
LL1013,-26.93,2238.66,,131.52,53.82,,BBWMLLTray3,A4,Forest Floor litter,"13C, 15N",Yes,,4.47,604065,88076,,,,Spencer BBWM-LLTray3 0613,,,
LL1021,-28.51,1865.33,,267.29,82.41,,BBWMLLTray3,A5,Forest Floor litter,"13C, 15N",Yes,,4.74,604066,88077,,,,Spencer BBWM-LLTray3 0613,,,
LL1023,-28.88,2204.54,,216.81,88.99,,BBWMLLTray3,A6,Forest Floor litter,"13C, 15N",Yes,,4.63,604067,88078,,,,Spencer BBWM-LLTray3 0613,,,
LL1031,-26.85,2192.36,,84.02,54.58,,BBWMLLTray3,A7,Forest Floor litter,"13C, 15N",Yes,,4.25,604068,88079,,,,Spencer BBWM-LLTray3 0613,,,
LL1041,-28.33,2058.73,,142.11,72.22,,BBWMLLTray3,A8,Forest Floor litter,"13C, 15N",Yes,,4.82,604069,88080,,,,Spencer BBWM-LLTray3 0613,,,
LL1042,-27.79,1730.65,,162.84,67.26,,BBWMLLTray3,A9,Forest Floor litter,"13C, 15N",Yes,,4.82,604070,88081,,,,Spencer BBWM-LLTray3 0613,,,
LL1043,-29.03,2248.41,,65.74,82.71,,BBWMLLTray3,A10,Forest Floor litter,"13C, 15N",Yes,,4.83,604071,88082,,,,Spencer BBWM-LLTray3 0613,,,
LL1047,-28.43,2294.78,,215.3,73.42,,BBWMLLTray3,A11,Forest Floor litter,"13C, 15N",Yes,,4.71,604072,88083,,,,Spencer BBWM-LLTray3 0613,,,
LL1048,-28.65,2302.11,,105.3,83.76,,BBWMLLTray3,A12,Forest Floor litter,"13C, 15N",Yes,,4.79,604073,88084,,,,Spencer BBWM-LLTray3 0613,,,
LL1101,-27.25,2260.61,,135.14,68.91,,BBWMLLTray3,B1,Forest Floor litter,"13C, 15N",Yes,,4.78,604074,88088,,,,Spencer BBWM-LLTray3 0613,,,
LL1103,-28.81,2170.46,,158.34,64.54,,BBWMLLTray3,B2,Forest Floor litter,"13C, 15N",Yes,,4.74,604075,88089,,,,Spencer BBWM-LLTray3 0613,,,
LL1111,-25.96,2153.43,,94.7,36.21,,BBWMLLTray3,B3,Forest Floor litter,"13C, 15N",Yes,,4.35,604076,88090,,,,Spencer BBWM-LLTray3 0613,,,
LL1113,-26.8,2138.84,,178.65,42.14,,BBWMLLTray3,B4,Forest Floor litter,"13C, 15N",Yes,,4.36,604077,88091,,,,Spencer BBWM-LLTray3 0613,,,
LL1121,-27.19,2285.01,,54.74,79.72,,BBWMLLTray3,B5,Forest Floor litter,"13C, 15N",Yes,,4.61,604078,88092,,,,Spencer BBWM-LLTray3 0613,,,
LL1123,-28.44,2311.88,,160.11,90.48,,BBWMLLTray3,B6,Forest Floor litter,"13C, 15N",Yes,,4.73,604079,88093,,,,Spencer BBWM-LLTray3 0613,,,
LL1131,-26.57,2160.73,,103.79,67.71,,BBWMLLTray3,B7,Forest Floor litter,"13C, 15N",Yes,,4.33,604080,88094,,,,Spencer BBWM-LLTray3 0613,,,
LL1132,-27.25,2141.27,,192.1,69.51,,BBWMLLTray3,B8,Forest Floor litter,"13C, 15N",Yes,,4.33,604081,88095,,,,Spencer BBWM-LLTray3 0613,,,
LL1201,-26.71,2380.38,,124.02,70.26,,BBWMLLTray3,B9,Forest Floor litter,"13C, 15N",Yes,,4.82,604082,88096,,,,Spencer BBWM-LLTray3 0613,,,
LL1203,-28.47,2155.86,,144.61,82.86,,BBWMLLTray3,B10,Forest Floor litter,"13C, 15N",Yes,,4.74,604083,88097,,,,Spencer BBWM-LLTray3 0613,,,
LL1211,-26.2,2238.66,,61.52,65.75,,BBWMLLTray3,B11,Forest Floor litter,"13C, 15N",Yes,,4.35,604084,88098,,,,Spencer BBWM-LLTray3 0613,,,
LL1213,-26.99,2277.69,,135.04,56.7,,BBWMLLTray3,B12,Forest Floor litter,"13C, 15N",Yes,,4.53,604085,88099,,,,Spencer BBWM-LLTray3 0613,,,
LL1221,-28.22,1947.38,,188.26,73.87,,BBWMLLTray3,C1,Forest Floor litter,"13C, 15N",Yes,,4.72,604086,88102,,,,Spencer BBWM-LLTray3 0613,,,
