Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
42,9,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 132,546 ",," 132,546 ",0.26,5.83,347,7730,,,,,
43,9,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 616,966 ",," 616,966 ",0.20,4.26,1208,26284,,,,,
44,9,25-C,lower mineral,25-C,B,mineral,EB,HW," 160,831 ",," 160,831 ",0.13,2.40,207,3864,,,,,
45,9,C,lower mineral,C,C,mineral,EB,HW," 1,377,541 ",," 1,377,541 ",0.10,1.82,1407,25055,,,,,
46,10,O,O,O,O,organic,EB,HW," 114,231 "," 2,688 "," 116,918 ",1.39,33.32,1583,38064,37,1309,1620,39373,24
47,10,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 174,115 ",," 174,115 ",0.36,8.36,620,14562,,,,,
48,10,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 836,481 ",," 836,481 ",0.18,4.00,1538,33432,,,,,
49,10,25-C,lower mineral,25-C,B,mineral,EB,HW," 1,210,955 ",," 1,210,955 ",0.13,2.37,1554,28640,,,,,
50,10,C,lower mineral,C,C,mineral,EB,HW," 3,821,220 ",," 3,821,220 ",0.12,2.23,4771,85068,,,,,
51,11,O,O,O,O,organic,EB,HW," 341,460 "," 2,339 "," 343,799 ",0.97,17.20,3313,58728,30,1131,3344,59859,18
52,11,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 283,582 ",," 283,582 ",0.49,9.64,1397,27334,,,,,
53,11,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 798,864 ",," 798,864 ",0.43,8.54,3414,68184,,,,,
54,11,25-C,lower mineral,25-C,B,mineral,EB,HW," 702,565 ",," 702,565 ",0.30,6.15,2084,43205,,,,,
55,11,C,lower mineral,C,C,mineral,EB,HW," 2,315,195 ",," 2,315,195 ",0.20,4.27,4741,98753,,,,,
56,12,O,O,O,O,organic,EB,HW," 203,793 "," 1,901 "," 205,694 ",1.06,20.84,2154,42470,25,919,2179,43389,20
57,12,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 149,670 ",," 149,670 ",0.77,14.12,1154,21131,,,,,
58,12,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 211,144 ",," 211,144 ",0.47,9.14,987,19292,,,,,
59,12,25-C,lower mineral,25-C,B,mineral,EB,HW," 443,111 ",," 443,111 ",0.49,9.35,2161,41410,,,,,
60,12,C,lower mineral,C,C,mineral,EB,HW," 2,012,851 ",," 2,012,851 ",0.43,8.31,8718,167207,,,,,
61,13,O,O,O,O,organic,EB,HW," 53,509 "," 4,274 "," 57,783 ",1.69,35.03,904,18744,59,1931,963,20675,21
62,13,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 72,904 ",," 72,904 ",0.50,8.10,366,5908,,,,,
63,13,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 669,782 ",," 669,782 ",0.37,6.45,2458,43177,,,,,
64,13,25-50cm,lower mineral,25-C,B,mineral,EB,HW," 186,371 ",," 186,371 ",0.21,4.10,398,7633,,,,,
